artists,genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms,count
904TEZZO,[],57,0.176,0.463,0.697,0.48,0.0085,0.378,-9.856,0.0493,119.951,10,0,96016,2
90sFlav,['lo-fi beats'],70,0.14,0.952,0.748,0.265,0.917,0.0866,-12.074,0.229,77.009,8,0,126250,2
916frosty,"['emo rap', 'melodic rap', 'sad rap']",66,0.268,0.637,0.597,0.559,0,0.137,-7.219,0.0835,145.826,1,0,248803,2
93FEETOFSMOKE,"['dark trap', 'emo rap', 'glitchcore', 'sad rap']",66,0.459,0.139,0.816,0.577,0,0.0827,-5.998,0.41,171.028,1,1,148140,1
94 East,['minneapolis sound'],31,0.954,0.179,0.744,0.797,0.0103,0.139,-8.867,0.0377,94.801,11,0,340440,1
98º,"['boy band', 'dance pop']",49,0.42775,0.34703,0.61025,0.581,3.55E-07,0.113165,-8.21425,0.041735,101.6388,10,1,250582.6,20
99 Neighbors,"['indie hip hop', 'vermont indie']",62,0.65,0.545,0.817,0.487,0,0.336,-6.585,0.474,70.949,0,1,231602,1
99 Percent,[],59,0.687,0.0729,0.786,0.854,1.63E-06,0.179,-4.247,0.0523,105.078,2,1,157165,2
999,"['oi', 'pub rock', 'punk']",33.66666667,0.514666667,0.030186667,0.596,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,2,1,217075.3333,6
9lokknine,"['florida rap', 'vapor trap']",67.66666667,0.521,0.033133333,0.864333333,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0,0,181220,6
9tails,['emo rap'],66,0.345,0.404,0.711,0.545,0,0.122,-6.81,0.0322,108.02,11,1,217182,2
9th Wonder,"['alternative hip hop', 'hip hop', 'north carolina hip hop', 'underground hip hop']",51,0.5295,0.232,0.685,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,7,1,259060,4
? & The Mysterians,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",25.11111111,0.805888889,0.218107778,0.632333333,0.670888889,0.174584277,0.151988889,-8.077222222,0.042188889,111.3006667,2,1,146582.3333,18
?uestlove,['philly rap'],39,0.779,0.198,0.885,0.598,0,0.384,-6.663,0.372,95.402,6,1,307120,2
A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']",66.64,0.500733333,0.2533864,0.730093333,0.62684,1.62E-06,0.164902667,-7.011053333,0.229846667,118.7338667,5,0,200451.88,75
A Certain Ratio,"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'uk post-punk']",27.5,0.582,0.132125,0.695,0.933,0.4573,0.07475,-7.848,0.0631,125.9155,2,1,344633,4
